concept,symbol
Gene_1553,CYP2A13
Gene_1555,CYP2B6
Gene_1557,CYP2C19
Gene_1558,CYP2C8
Gene_1559,CYP2C9
Gene_1562,CYP2C18
Gene_1564,CYP2D7
Gene_1565,CYP2D6
Gene_1571,CYP2E1
Gene_1572,CYP2F1
Gene_1573,CYP2J2
Gene_1576,CYP3A4
Gene_1577,CYP3A5
Gene_1579,CYP4A11
Gene_1580,CYP4B1
Gene_1581,CYP7A1
Gene_1582,CYP8B1
Gene_1583,CYP11A1
Gene_1584,CYP11B1
Gene_1585,CYP11B2
Gene_1586,CYP17A1
Gene_1588,CYP19A1
Gene_1589,CYP21A2
Gene_1591,CYP24A1
Gene_1592,CYP26A1
Gene_1593,CYP27A1
Gene_1594,CYP27B1
Gene_1595,CYP51A1
Gene_1600,DAB1
Gene_1601,DAB2
Gene_1602,DACH1
Gene_1603,DAD1
Gene_1604,CD55
Gene_1605,DAG1
Gene_1606,DGKA
Gene_1607,DGKB
Gene_1608,DGKG
Gene_1609,DGKQ
Gene_1610,DAO
Gene_1611,DAP
Gene_1612,DAPK1
Gene_1613,DAPK3
Gene_1615,DARS1
Gene_1616,DAXX
Gene_1617,DAZ1
Gene_1618,DAZL
Gene_1620,BRINP1
Gene_1621,DBH
Gene_1622,DBI
Gene_1627,DBN1
Gene_1628,DBP
Gene_1629,DBT
Gene_1630,DCC
Gene_1632,ECI1
Gene_1633,DCK
Gene_1634,DCN
Gene_1635,DCTD
Gene_1636,ACE
Gene_1638,DCT
Gene_1639,DCTN1
Gene_1641,DCX
Gene_1642,DDB1
Gene_1643,DDB2
Gene_1644,DDC
Gene_1645,AKR1C1
Gene_1646,AKR1C2
Gene_1647,GADD45A
Gene_1649,DDIT3
Gene_1650,DDOST
Gene_1652,DDT
Gene_1653,DDX1
Gene_1654,DDX3X
Gene_1655,DDX5
